trayek
KORIDOR 1
KORIDOR 1 (BLOK M - KOTA)
KORIDOR 2
KORIDOR 2 (PULOGADUNG 1 - HARMONI)
KORIDOR 3
KORIDOR 3 (KALIDERES - PASAR BARU)
KORIDOR 4
KORIDOR 4 (PULOGADUNG 2 - DUKUH ATAS 2)
KORIDOR 5
KORIDOR 5 (KAMPUNG MELAYU - ANCOL)
KORIDOR 6
KORIDOR 6 (RAGUNAN - DUKUH ATAS 2)
KORIDOR 7
KORIDOR 7 (KAMPUNG RAMBUTAN - KAMPUNG MELAYU)
KORIDOR 8
KORIDOR 8 (LEBAK BULUS - HARMONI)
KORIDOR 9
KORIDOR 9 (PINANG RANTI - PLUIT)
KORIDOR 10
KORIDOR 10 (PGC 2 - PLUIT)
KORIDOR 11
KORIDOR 11 (PULOGEBANG - KAMPUNG MELAYU)
KORIDOR 12
KORIDOR 12 (PENJARINGAN - TANJUNG PRIOK)
KORIDOR 13
KORIDOR 13 (CBD CILEDUG - BLOK M)
HISTORY OF JAKARTA
SEJARAH JAKARTA
JAKARTA MODERN
PENCAKAR LANGIT
ART N CULINARY
KESENIAN DAN KULINER
WISATA KALIJODO
MAKAM MBAH PRIUK
JAKARTA SHOPING MALL
JAKARTA BELANJA
TAMAN KOTA - BUDI LUHUR
ISLAMIC - ROROTAN
RAWAMANGUN-RAWASENGON
PULOGADUNG-CEMPAKA MAS
KOTA  KASABLANGKA - EPICENTRUM
TAMAN MINI - BALAI KOTA
CINERE - KUNINGAN
BINTARO - BLOK M
BSD - BUNDERAN SENAYAN
PONDOK CABE - TANAH ABANG
JATIJAJAR - LEBAK BULUS
CSW - PAKUBUWONO
CSW - KRAMTA PELA
CSW - WIJAYA
PULO GEBANG - LEBAK BULUS
PULO GEBANG - PINANG RANTI
PULO GEBANG - PASAR MINGGU
PULO GEBANG - TANJUNG PRIUK
JATI BENING - BLOK M
JATI BENING - KUNINGAN
POLDA - GBK (VIA SCBD)
TAMAN MINI - KAMPUNG RAMBUTAN
PONDOK KELAPA - BKN
BLOK M - CIBUBUR
CIBUBUR JUNCTION - BLOK M
BLOK M - MERUYA
REMPOA - BLOK M
HARAPAN INDAH - ASMI
KAMPUNG MELAYU - GROGOL 1
STASIUN TEBET - BIDARA CINA
KAMPUNG MELAYU - TANAH ABANG
STASIUN TEBET - KARET
LEBAK BULUS - STASIUN SENEN
BLOK M - STASIUN MANGGARAI
RAGUNAN - BLOK M VIA KEMANG
CIBUBUR - KUNINGAN
EPICENTRUM - CASABLANCA
KAMPUNG RAMBUTAN - LEBAK BULUS
KAMPUNG RAMBUTAN - BLOK M
CIBUBUR JUNCTION - UKI
CIBUBUR - BKN
CAWANG UKI - TMII
KAMPUNG RAMBUTAN - RAGUNAN
GANDARIA - KAMPUNG RAMBUTAN
KEBAYORAN LAMA - TANAH ABANG
JOGLO - BLOK M
BATUSARI - TANAH ABANG
PASAR MINGGU - TANAH ABANG
KEBAYORAN LAMA - GROGOL 2
CIPEDAK - BLOK M
GRATIS GATE NON BRT
PULO GEBANG - RAWAMANGUN
PULO GEBANG - PULO GADUNG 2 (VIA PIK)
PULO GEBANG - KAMPUNG MELAYU VIA BKT
KAMPUNG MELAYU - PULOGEBANG VIA BKT
PULO GEBANG - STASIUN CAKUNG
PULO GEBANG - CAKUNG - CILINCING
PULO GEBANG - STASIUN CAKUNG - CILINCING
KOTA - PELABUHAN KALIADEM
PLUIT - SENEN
PLUIT - STASIUN SENEN
HISTORY OF JAKARTA EXPLORER (KOTA TUA)
HISTORY OF JAKARTA EXPLORER
ASEMKA - EXPLORER
ASEMKA EXPLORER
CBD CILEDUG - MONAS
CBD - MONAS
SUMMARECON BEKASI - TOSARI
SUMMARECON BEKASI - TANJUNG PRIOK
BEKASI BARAT - BLOK M
BEKASI BARAT - KUNINGAN
BEKASI TIMUR - GROGOL 2
BEKASI TIMUR - PASAR BARU
BEKASI TIMUR - JUANDA
BEKASI TIMUR - TEBET
BEKASI TIMUR - KALIDERES
DEPOK - BNN
DEPOK - BKN
UI - LEBAK BULUS
BUNDARAN SENAYAN - HARMONI (BUS GRATIS)
TANAH ABANG EXPLORER
CSW - KRAMAT PELA
STASIUN MRT BLOK A - RADIO DALAM
CIPETE - ANTASARI
SERPONG - GROGOL 2
BSD - GROGOL 2
CIPUTAT - TOSARI
CIPUTAT - KP. RAMBUTAN
CIPUTAT - KAMPUNG RAMBUTAN
BLOK M - REMPOA
