bulan,tahun,jenis,kode_trayek,trayek,jum_penumpang_int
Desember,2019,BRT,1,KORIDOR 1 (BLOK M - KOTA),2686458
Juli,2019,BRT,1,KORIDOR 1 (BLOK M - KOTA),2612456
November,2019,BRT,1,KORIDOR 1 (BLOK M - KOTA),2533287
September,2019,BRT,1,KORIDOR 1 (BLOK M - KOTA),2491625
Oktober,2019,BRT,1,KORIDOR 1 (BLOK M - KOTA),2491625
